Date,VADATA.Total,VADATA.DeathConfirmed
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,3,0
2020-3-6,10,0
2020-3-7,7,0
2020-3-8,8,0
2020-3-9,12,0
2020-3-10,8,0
2020-3-11,9,0
2020-3-12,17,0
2020-3-13,30,0
2020-3-14,30,0
2020-3-15,45,0
2020-3-16,51,0
2020-3-17,67,0
2020-3-18,77,0
2020-3-19,94,0
2020-3-20,114,0
2020-3-21,152,0
2020-3-22,219,0
2020-3-23,254,0
2020-3-24,290,0
2020-3-25,391,0
2020-3-26,460,0
2020-3-27,604,0
2020-3-28,739,0
2020-3-29,890,0
2020-3-30,1020,0
2020-3-31,1250,0
2020-4-1,1484,0
2020-4-2,1706,0
2020-4-3,2012,0
2020-4-4,2407,0
2020-4-5,2637,0
2020-4-6,2878,0
2020-4-7,3333,0
2020-4-8,3645,0
2020-4-9,4669,0
2020-4-10,5030,0
2020-4-11,5594,0
2020-4-12,5795,0
2020-4-13,6220,0
2020-4-14,6640,0
2020-4-15,6996,0
2020-4-16,7426,0
2020-4-17,7990,0
2020-4-18,8539,0
2020-4-19,9036,0
2020-4-20,9458,0
2020-4-21,10107,321
2020-4-22,10743,347
2020-4-23,11490,370
2020-4-24,12081,407
2020-4-25,13771,432
2020-4-26,13509,444
2020-4-27,14077,454
2020-4-28,14899,487
2020-4-29,15581,513
2020-4-30,16429,543
2020-5-1,17369,572
2020-5-2,18189,607
2020-5-3,19136,644
2020-5-4,19970,662
2020-5-5,20725,690
2020-5-6,20725,690
2020-5-7,22089,745
2020-5-8,22891,787
2020-5-9,23697,801
2020-5-10,24587,813
2020-5-11,25502,823
2020-5-12,26247,864
2020-5-13,27231,899
2020-5-14,28309,927
2020-5-15,29130,944
2020-5-16,30168,968
2020-5-17,30915,975
2020-5-18,31670,980
2020-5-19,32618,1007
2020-5-20,33426,1040
2020-5-21,34627,1064
2020-5-22,35414,1100
2020-5-23,36158,1123
2020-5-24,36655,1135
2020-5-25,38141,1158
2020-5-26,39754,1175
2020-5-27,40693,1202
2020-5-28,41877,1236
2020-5-29,43058,1258
2020-5-30,44092,1269
2020-5-31,45107,1274
2020-6-1,45817,1282
2020-6-2,46689,1300
2020-6-3,47340,1322
2020-6-4,48268,1338
2020-6-5,48906,1350
2020-6-6,49747,1357
2020-6-7,51066,1369
2020-6-8,51624,1373
2020-6-9,52121,1391
2020-6-10,52584,1408
2020-6-11,53005,1413
2020-6-12,53574,1426
2020-6-13,54152,1435
2020-6-14,54808,1438
2020-6-15,55145,1444
2020-6-16,55588,1465
2020-6-17,56088,1478
2020-6-18,56497,1482
2020-6-19,57078,1499
2020-6-20,57746,1504
2020-6-21,58291,1508
2020-6-22,58763,1517
2020-6-23,59285,1542
2020-6-24,59833,1559
2020-6-25,60249,1572
2020-6-26,60865,1596
2020-6-27,61531,1620
2020-6-28,62031,1628
2020-6-29,62450,1635
2020-6-30,63142,1658
2020-7-1,63560,1681
2020-7-2,64078,1712
2020-7-3,64676,1741
2020-7-4,65389,1745
2020-7-5,65994,1746
2020-7-6,66320,1747
2020-7-7,67053,1775
2020-7-8,67752,1799
2020-7-9,68358,1832
2020-7-10,69309,1853
2020-7-11,70147,1857
2020-7-12,71059,1859
2020-7-13,72108,1861
2020-7-14,72863,1870
2020-7-15,73909,1882
2020-7-16,74875,1903
2020-7-17,75903,1909
2020-7-18,76794,1921
2020-7-19,77883,1923
2020-7-20,78790,1927
2020-7-21,79798,1945
2020-7-22,80778,1948
2020-7-23,81654,1951
2020-7-24,82815,1964
2020-7-25,84025,1972
2020-7-26,84960,1975
2020-7-27,86451,1978
2020-7-28,87430,1991
2020-7-29,88477,2020
2020-7-30,89396,2035
2020-7-31,90337,2067
2020-8-1,91153,2105
2020-8-2,92097,2108
2020-8-3,93428,2108
2020-8-4,94626,2134
2020-8-5,95472,2164
2020-8-6,96341,2191
2020-8-7,98357,2208
2020-8-8,99551,2211
2020-8-9,100430,2214
2020-8-10,101145,2215
2020-8-11,102172,2232
2020-8-12,102918,2238
2020-8-13,104012,2248
2020-8-14,105277,2255
2020-8-15,106157,2265
2020-8-16,107028,2266
2020-8-17,107737,2268
2020-8-18,108663,2278
2020-8-19,109362,2293
2020-8-20,110255,2310
2020-8-21,111217,2319
2020-8-22,112363,2324
2020-8-23,113275,2348
2020-8-24,113937,2352
2020-8-25,114982,2370
2020-8-26,115786,2382
2020-8-27,115807,2382
2020-8-28,117880,2417
2020-8-29,119119,2435
2020-8-30,120060,2436
2020-8-31,120912,2447
2020-9-1,121850,2479
2020-9-2,122820,2508
2020-9-3,123998,2519
2020-9-4,125052,2529
2020-9-5,126012,2544
2020-9-6,127194,2545
2020-9-7,127865,2551
2020-9-8,128690,2553
2020-9-9,129561,2564
2020-9-10,130858,2575
2020-9-11,131980,2578
2020-9-12,133212,2589
2020-9-13,134118,2591
2020-9-14,134879,2607
2020-9-15,135843,2691
2020-9-16,136708,2711
2020-9-17,137786,2734
2020-9-18,138999,2755
2020-9-19,139954,2787
2020-9-20,140819,2811
2020-9-21,141481,2816
2020-9-22,142318,2853
2020-9-23,142888,2882
2020-9-24,143850,2907
2020-9-25,144781,2930
2020-9-26,145718,2937
2020-9-27,146409,2951
2020-9-28,146881,2962
2020-9-29,147876,2976
2020-9-30,148585,2995
2020-10-1,149047,3015
2020-10-2,149987,3037
2020-10-3,151109,3057
2020-10-4,152152,3060
2020-10-5,152886,3063
2020-10-6,153501,3077
2020-10-7,154053,3088
2020-10-8,155845,3097
2020-10-9,156961,3110
2020-10-10,158206,3116
2020-10-11,159012,3120
2020-10-12,159891,3122
2020-10-13,161118,3132
2020-10-14,161944,3141
2020-10-15,163260,3149
2020-10-16,164453,3161
2020-10-17,165528,3175
2020-10-18,166420,3186
2020-10-19,167111,3209
2020-10-20,168003,3236
2020-10-21,169087,3266
2020-10-22,170528,3274
2020-10-23,171594,3293
2020-10-24,172655,3328
2020-10-25,173654,3329
2020-10-26,174587,3331
2020-10-27,175744,3350
2020-10-28,177090,3364
2020-10-29,178517,3384
2020-10-30,179941,3391
2020-10-31,181463,3398
2020-11-1,182681,3399
2020-11-2,183727,3402
2020-11-3,184959,3408
2020-11-4,186098,3416
2020-11-5,187499,3426
2020-11-6,189036,3432
2020-11-7,191137,3439
2020-11-8,192446,3441
2020-11-9,193780,3447
2020-11-10,195201,3460
2020-11-11,196868,3474
2020-11-12,198397,3490
2020-11-13,199580,3513
2020-11-14,201092,3526
2020-11-15,202238,3527
2020-11-16,204903,3533
2020-11-17,207074,3557
2020-11-18,209197,3569
2020-11-19,211227,3594
2020-11-20,213682,3605
2020-11-21,216028,3628
2020-11-22,218147,3628
2020-11-23,221420,3629
2020-11-24,223905,3660
2020-11-25,226604,3679
2020-11-26,229215,3698
2020-11-27,230761,3704
2020-11-28,233888,3715
2020-11-29,236280,3719
2020-11-30,238162,3723
2020-12-1,240398,3750
2020-12-2,242868,3768
2020-12-3,244889,3798
2020-12-4,247748,3805
2020-12-5,251517,3819
2020-12-6,255532,3822
2020-12-7,259199,3829
2020-12-8,263078,3875
2020-12-9,267510,3894
2020-12-10,271409,3940
2020-12-11,274804,3973
2020-12-12,278953,4005
2020-12-13,282267,4006
2020-12-14,285564,4009
2020-12-15,288691,4058
2020-12-16,292599,4090
2020-12-17,296503,4126
2020-12-18,299722,4164
2020-12-19,303290,4184
2020-12-20,307174,4189
2020-12-21,311219,4192
2020-12-22,314823,4221
2020-12-23,319487,4251
2020-12-24,324252,4263
2020-12-25,328265,4268
2020-12-26,329844,4272
2020-12-27,333894,4285
2020-12-28,336507,4288
2020-12-29,340626,4340
2020-12-30,344686,4394
2020-12-31,349940,4437
2021-1-1,355106,4478
2021-1-2,359064,4509
2021-1-3,364071,4516
2021-1-4,367868,4522
2021-1-5,372223,4572
2021-1-6,377607,4604
2021-1-7,383016,4646
2021-1-8,388215,4681
2021-1-9,394036,4748
2021-1-10,399230,4749
2021-1-11,403789,4758
2021-1-12,408354,4833
2021-1-13,412945,4892
2021-1-14,418215,4952
2021-1-15,422976,4982
2021-1-16,429718,5016
2021-1-17,439624,5037
2021-1-18,446922,5042
2021-1-19,451426,5084
2021-1-20,455930,5137
2021-1-21,459910,5211
2021-1-22,464060,5269
2021-1-23,468967,5334
2021-1-24,472757,5361
2021-1-25,478939,5363
2021-1-26,483606,5442
2021-1-27,488867,5489
2021-1-28,493941,5566
2021-1-29,498177,5606
2021-1-30,502514,5646
2021-1-31,505063,5657
2021-2-1,507903,5666
2021-2-2,510619,5684
2021-2-3,513634,5712
2021-2-4,516651,5755
2021-2-5,521713,5816
2021-2-6,526472,5835
2021-2-7,529400,5840
2021-2-8,531121,5874
2021-2-9,534367,5932
2021-2-10,537569,5951
2021-2-11,541292,5978
2021-2-12,544462,5988
2021-2-13,547682,6010
2021-2-14,550239,6024
2021-2-15,551730,6028
2021-2-16,553499,6047
2021-2-17,555794,6080
2021-2-18,558153,6096
2021-2-19,560149,6107
2021-2-20,562007,6198
2021-2-21,564324,6320
2021-2-22,565514,6445
2021-2-23,567337,6590
2021-2-24,569237,6712
2021-2-25,571199,6848
2021-2-26,572880,7037
2021-2-27,574496,7189
2021-2-28,576221,7334
2021-3-1,577362,7530
2021-3-2,578776,7674
2021-3-3,580326,7993
2021-3-4,581626,8018
2021-3-5,583240,8049
2021-3-6,584724,8090
2021-3-7,585869,8104
